,Unnamed: 0,links,names,ratings,price for two,cuisine,Location,area,area_list,cuisine_list
320,336,https://www.zomato.com/bangalore/gufha-1-sankey-road-bangalore/info,Gufha,4.6,"₹1,100 for two",north indian chinese continental biryani kebab desserts,Sankey Road,racecourseroad,Race Course Road,"North Indian, Chinese, Continental, Biryani, Kebab, Desserts"
321,337,https://www.zomato.com/bangalore/record-room-mg-road-bangalore/info,Record Room,4.5,"₹2,500 for two",sushi bar food pizza desserts beverages,MG Road,mgroad,MG Road,"Sushi, Bar Food, Pizza, Desserts, Beverages"
322,338,https://www.zomato.com/bangalore/dolci-desserts-cunningham-road/info,Dolci Desserts,4.3,₹850 for two,desserts bakery pasta,Cunningham Road,cunninghamroad,Cunningham Road,"Desserts, Bakery, Pasta"
323,339,https://www.zomato.com/bangalore/the-koi-btm-bangalore/info,The Koi,4.0,"₹1,000 for two",chinese asian desserts,BTM,btm,BTM,"Chinese, Asian, Desserts"
324,340,https://www.zomato.com/bangalore/seven-rivers-brewing-co-taj-mg-road-bangalore/info,Seven Rivers Brewing Co - Taj,4.4,"₹3,300 for two",north indian european salad finger food beverages desserts,"Taj, MG Road",mgroad,MG Road,"North Indian, European, Salad, Finger Food, Beverages, Desserts"
325,341,https://www.zomato.com/bangalore/toca-terrace-brigade-road-bangalore/info,Toca Terrace,New,"₹1,100 for two",south indian north indian continental chinese seafood pasta,Brigade Road,brigaderoad,Brigade Road,"South Indian, North Indian, Continental, Chinese, Seafood, Pasta"
326,342,https://www.zomato.com/bangalore/zyng-pan-asian-dining-ulsoor-bangalore/info,Zyng - Pan Asian Dining,4.2,"₹1,200 for two",asian japanese korean chinese thai seafood desserts,Ulsoor,ulsoor,Ulsoor,"Asian, Japanese, Korean, Chinese, Thai, Seafood, Desserts"
327,344,https://www.zomato.com/bangalore/the-big-barn-kanakapura-road-bangalore/info,The Big Barn,4.4,"₹2,280 for two",south indian north indian chinese asian fast food pasta momos beverages,Kanakapura Road,kanakapura,Kanakapura,"South Indian, North Indian, Chinese, Asian, Fast Food, Pasta, Momos, Beverages"
328,345,https://www.zomato.com/bangalore/kebarbiq-restaurant-hsr-bangalore/info,Kebarbiq Restaurant,4.0,"₹1,400 for two",bbq arabian continental north indian middle eastern chinese beverages,HSR,hsr,HSR,"BBQ, Arabian, Continental, North Indian, Middle Eastern, Chinese, Beverages"
329,346,https://www.zomato.com/bangalore/high-ultra-lounge-sheraton-grand-bangalore-hotel-malleshwaram-bangalore/info,High Ultra Lounge - Sheraton Grand Bangalore Hotel,4.2,"₹3,600 for two",north indian continental finger food desserts,Sheraton Grand Bangalore Hotel at Brigade Gateway,malleshwaram,Malleshwaram,"North Indian, Continental, Finger Food, Desserts"
330,347,https://www.zomato.com/bangalore/techila-nagawara-bangalore/info,Techila,4.3,"₹1,200 for two",north indian burger biryani pizza chinese mexican fast food rolls,Nagawara,nagawara,Nagawara,"North Indian, Burger, Biryani, Pizza, Chinese, Mexican, Fast Food, Rolls"
331,348,https://www.zomato.com/bangalore/the-grill-house-steaks-sizzlers-ulsoor-bangalore/info,The Grill House - Steaks & Sizzlers,4.3,"₹1,400 for two",american mexican italian steak seafood,Ulsoor,ulsoor,Ulsoor,"American, Mexican, Italian, Steak, Seafood"
332,349,https://www.zomato.com/bangalore/zoeys-sarjapur-road/info,Zoey's,4.2,₹700 for two,burger beverages continental pasta chinese sandwich cafe desserts,Sarjapur Road,sarjapur,Sarjapur,"Burger, Beverages, Continental, Pasta, Chinese, Sandwich, Cafe, Desserts"
333,350,https://www.zomato.com/bangalore/dhwani-indiranagar-bangalore/info,Dhwani,4.5,"₹1,300 for two",north indian bar food continental chinese biryani pizza momos beverages,Indiranagar,indiranagar,Indiranagar,"North Indian, Bar Food, Continental, Chinese, Biryani, Pizza, Momos, Beverages"
334,351,https://www.zomato.com/bangalore/anaia-indiranagar-bangalore/info,Anaia,4.3,₹450 for two,cafe shake tea sandwich burger pizza beverages,Indiranagar,indiranagar,Indiranagar,"Cafe, Shake, Tea, Sandwich, Burger, Pizza, Beverages"
335,352,https://www.zomato.com/bangalore/the-dome-cafe-sarjapur-road-bangalore/info,The Dome Cafe,4.4,"₹1,600 for two",north indian chinese continental burger desserts shake beverages,Sarjapur Road,sarjapur,Sarjapur,"North Indian, Chinese, Continental, Burger, Desserts, Shake, Beverages"
336,353,https://www.zomato.com/bangalore/nh8-indiranagar/info,NH8,4.1,"₹1,200 for two",north indian rajasthani,Indiranagar,indiranagar,Indiranagar,"North Indian, Rajasthani"
337,354,https://www.zomato.com/bangalore/rim-naam-the-oberoi-mg-road-bangalore/info,Rim Naam - The Oberoi,4.9,"₹5,000 for two",thai asian seafood desserts,"The Oberoi, MG Road",mgroad,MG Road,"Thai, Asian, Seafood, Desserts"
338,355,https://www.zomato.com/bangalore/societe-rangoon-jp-nagar-bangalore/info,Societe Rangoon,4.3,"₹1,000 for two",burmese asian,JP Nagar,jpnagar,JP Nagar,"Burmese, Asian"
339,356,https://www.zomato.com/bangalore/shift-hsr/info,Shift,4.2,"₹1,700 for two",finger food continental north indian salad seafood mughlai,HSR,hsr,HSR,"Finger Food, Continental, North Indian, Salad, Seafood, Mughlai"
340,357,https://www.zomato.com/bangalore/eight-hebbal-bangalore/info,Eight,New,"₹3,000 for two",asian chinese thai japanese peruvian,"Phoenix Mall of Asia, Hebbal, Bengaluru",hebbal,Hebbal,"Asian, Chinese, Thai, Japanese, Peruvian"
341,358,https://www.zomato.com/bangalore/kharva-resto-bar-sarjapur-road-bangalore/info,Kharva Resto Bar,4.3,"₹1,000 for two",chinese fast food seafood continental north indian modern indian biryani desserts,Sarjapur Road,sarjapur,Sarjapur,"Chinese, Fast Food, Seafood, Continental, North Indian, Modern Indian, Biryani, Desserts"
342,360,https://www.zomato.com/bangalore/the-bangalore-dhaba-kalyan-nagar-bangalore/info,The Bangalore Dhaba,4.3,"₹1,200 for two",north indian biryani chinese mughlai fast food momos desserts beverages,Kalyan Nagar,kalyannagar,Kalyan Nagar,"North Indian, Biryani, Chinese, Mughlai, Fast Food, Momos, Desserts, Beverages"
343,361,https://www.zomato.com/bangalore/the-lantern-restaurant-bar-the-ritz-carlton-bangalore-residency-road-bangalore/info,"The Lantern Restaurant & Bar - The Ritz-Carlton, Bangalore",4.2,"₹4,500 for two",chinese momos,The Ritz-Carlton,ashoknagar,Ashok Nagar,"Chinese, Momos"
344,362,https://www.zomato.com/bangalore/tea-villa-cafe-jayanagar-bangalore/info,Tea Villa Cafe,4.0,"₹1,400 for two",cafe continental chinese mexican fast food tea beverages desserts,Jayanagar,jayanagar,Jayanagar,"Cafe, Continental, Chinese, Mexican, Fast Food, Tea, Beverages, Desserts"
345,363,https://www.zomato.com/bangalore/andreas-brasserie-yelahanka-bangalore/info,Andrea's Brasserie,4.4,"₹1,600 for two",pizza pasta asian salad desserts sushi beverages burger,"Phoenix Mall of Asia, Hebbal, Bengaluru",hebbal,Hebbal,"Pizza, Pasta, Asian, Salad, Desserts, Sushi, Beverages, Burger"
346,364,https://www.zomato.com/bangalore/kuuraku-brigade-road-bangalore/info,Kuuraku,4.7,"₹1,500 for two",japanese rolls beverages,Forum Rex Walk,ashoknagar,Ashok Nagar,"Japanese, Rolls, Beverages"
347,365,https://www.zomato.com/bangalore/cocos-bar-kitchen-church-street-bangalore/info,Coco's Bar & Kitchen,3.9,"₹1,800 for two",bar food italian north indian south indian asian thai fast food beverages,Church Street,churchstreet,Church Street,"Bar Food, Italian, North Indian, South Indian, Asian, Thai, Fast Food, Beverages"
348,366,https://www.zomato.com/bangalore/salvadores-mg-road-bangalore/info,Salvadores,4.6,"₹2,500 for two",continental pasta salad desserts beverages,MG Road,mgroad,MG Road,"Continental, Pasta, Salad, Desserts, Beverages"
349,367,https://www.zomato.com/bangalore/nook-aloft-bengaluru-cessna-business-park-kadubeesanahalli-bangalore/info,Nook - Aloft Bengaluru Cessna Business Park,4.0,"₹1,200 for two",north indian continental asian fast food south indian desserts waffle,"Aloft Bengaluru Cessna Business Park, Kadubeesanahalli",marathahalli,Marathahalli,"North Indian, Continental, Asian, Fast Food, South Indian, Desserts, Waffle"
350,368,https://www.zomato.com/bangalore/masala-love-co-jayanagar-bangalore/info,Masala Love & Co,New,"₹1,000 for two",north indian chinese street food,Jayanagar,jayanagar,Jayanagar,"North Indian, Chinese, Street Food"
351,369,https://www.zomato.com/bangalore/cuppa-redefined-hsr-bangalore/info,Cuppa Redefined,4.3,₹700 for two,cafe american burger healthy food salad fast food desserts beverages,HSR,hsr,HSR,"Cafe, American, Burger, Healthy Food, Salad, Fast Food, Desserts, Beverages"
352,370,https://www.zomato.com/bangalore/shao-radisson-blu-marathahalli-bangalore/info,Shao - Radisson Blu,4.5,"₹3,500 for two",thai japanese chinese asian sichuan beverages,"Radisson Blu, Marathahalli",marathahalli,Marathahalli,"Thai, Japanese, Chinese, Asian, Sichuan, Beverages"
353,371,https://www.zomato.com/bangalore/empire-restaurant-koramangala-5th-block/info,Empire Restaurant,3.8,₹950 for two,north indian biryani kebab south indian mughlai chinese seafood,Koramangala 5th Block,koramangala,Koramangala,"North Indian, Biryani, Kebab, South Indian, Mughlai, Chinese, Seafood"
354,373,https://www.zomato.com/bangalore/barkaas-arabic-restaurant-marathahalli-bangalore/info,Barkaas- Arabic Restaurant,4.0,"₹1,300 for two",arabian north indian mughlai shawarma fast food mandi desserts beverages,Marathahalli,marathahalli,Marathahalli,"Arabian, North Indian, Mughlai, Shawarma, Fast Food, Mandi, Desserts, Beverages"
355,375,https://www.zomato.com/bangalore/nuage-indiranagar-bangalore/info,Nuage,4.4,₹950 for two,burger bakery continental,Indiranagar,indiranagar,Indiranagar,"Burger, Bakery, Continental"
356,376,https://www.zomato.com/bangalore/sherlocks-lounge-kitchen-yelahanka-bangalore/info,Sherlock's - Lounge & Kitchen,4.1,"₹2,500 for two",continental north indian finger food chinese fast food south indian desserts beverages,Yelahanka,yelahanka,Yelahanka,"Continental, North Indian, Finger Food, Chinese, Fast Food, South Indian, Desserts, Beverages"
357,377,https://www.zomato.com/bameys/info,Bamey's Restro Cafe,4.2,₹950 for two,asian nepalese momos,Koramangala 5th Block,koramangala,Koramangala,"Asian, Nepalese, Momos"
358,378,https://www.zomato.com/bangalore/pind-balluchi-varthur-main-road-whitefield-bangalore/info,Pind Balluchi,3.9,₹950 for two,north indian mughlai fast food biryani desserts,"Forum Neighbourhood Mall, Whitefield",whitefield,Whitefield,"North Indian, Mughlai, Fast Food, Biryani, Desserts"
359,379,https://www.zomato.com/bangalore/the-whitefield-arms-pub-microbrewery-whitefield-bangalore/info,The Whitefield Arms Pub & Microbrewery,4.1,"₹1,400 for two",modern indian continental bbq,"VR Bengaluru, Whitefield",whitefield,Whitefield,"Modern Indian, Continental, BBQ"
360,380,https://www.zomato.com/bangalore/sally-by-1522-hebbal-bangalore/info,Sally By 1522,3.9,"₹1,600 for two",south indian chinese salad continental asian biryani seafood pasta,"Phoenix Mall of Asia, Hebbal, Bengaluru",hebbal,Hebbal,"South Indian, Chinese, Salad, Continental, Asian, Biryani, Seafood, Pasta"
361,381,https://www.zomato.com/bangalore/kake-di-hatti-whitefield-bangalore/info,Kake Di Hatti,4.0,"₹1,800 for two",north indian chinese beverages,Whitefield,whitefield,Whitefield,"North Indian, Chinese, Beverages"
362,382,https://www.zomato.com/bangalore/rcb-bar-cafe-st-marks-road-bangalore/info,RCB Bar & Cafe,4.4,"₹2,000 for two",continental asian north indian pizza fast food desserts beverages,1 Sobha,ashoknagar,Ashok Nagar,"Continental, Asian, North Indian, Pizza, Fast Food, Desserts, Beverages"
363,383,https://www.zomato.com/bangalore/imperio-restaurant-2-hsr-bangalore/info,Imperio Restaurant,4.1,"₹1,000 for two",biryani kebab chinese north indian arabian south indian shawarma desserts,HSR,hsr,HSR,"Biryani, Kebab, Chinese, North Indian, Arabian, South Indian, Shawarma, Desserts"
364,384,https://www.zomato.com/bangalore/the-local-kalyan-nagar-bangalore/info,The Local,4.3,"₹1,600 for two",pizza continental burger seafood kerala finger food beverages,Kalyan Nagar,kalyannagar,Kalyan Nagar,"Pizza, Continental, Burger, Seafood, Kerala, Finger Food, Beverages"
365,385,https://www.zomato.com/bangalore/daily-sushi-1-indiranagar-bangalore/info,Daily Sushi,4.3,₹950 for two,sushi japanese korean asian beverages,Indiranagar,indiranagar,Indiranagar,"Sushi, Japanese, Korean, Asian, Beverages"
366,386,https://www.zomato.com/bangalore/brik-oven-bellandur-bangalore/info,Brik Oven,4.5,"₹1,200 for two",pizza italian fast food desserts shake beverages,Bellandur,bellandur,Bellandur,"Pizza, Italian, Fast Food, Desserts, Shake, Beverages"
367,387,https://www.zomato.com/bangalore/down-town-diner-brigade-road-bangalore/info,Down Town Diner,4.3,₹750 for two,cafe coffee fast food pizza burger sandwich desserts beverages,Brigade Road,brigaderoad,Brigade Road,"Cafe, Coffee, Fast Food, Pizza, Burger, Sandwich, Desserts, Beverages"
368,388,https://www.zomato.com/bangalore/noodle-bar-whitefield/info,Noodle Bar,3.8,"₹1,700 for two",asian oriental chinese thai desserts beverages,"Phoenix Marketcity Bangalore, Whitefield",whitefield,Whitefield,"Asian, Oriental, Chinese, Thai, Desserts, Beverages"
369,389,https://www.zomato.com/bangalore/paper-and-pie-indiranagar-bangalore/info,Paper And Pie,3.6,"₹1,200 for two",cafe italian continental desserts beverages shake,Indiranagar,indiranagar,Indiranagar,"Cafe, Italian, Continental, Desserts, Beverages, Shake"
370,390,https://www.zomato.com/bangalore/al-daaz-hsr/info,Al Daaz,3.9,₹600 for two,north indian chinese mughlai bbq seafood fast food biryani beverages,HSR,hsr,HSR,"North Indian, Chinese, Mughlai, BBQ, Seafood, Fast Food, Biryani, Beverages"
371,391,https://www.zomato.com/bangalore/azukii-bistro-richmond-town-bangalore/info,Azukii Bistro,4.8,"₹1,800 for two",japanese asian rolls sushi salad tea beverages,Richmond Town,ashoknagar,Ashok Nagar,"Japanese, Asian, Rolls, Sushi, Salad, Tea, Beverages"
372,392,https://www.zomato.com/bangalore/the-druid-garden-sahakara-nagar/info,The Druid Garden,4.2,"₹2,000 for two",north indian asian continental italian chinese fast food,Sahakara Nagar,sahakaranagar,Sahakara Nagar,"North Indian, Asian, Continental, Italian, Chinese, Fast Food"
373,393,https://www.zomato.com/bangalore/tipsy-bull-the-bar-exchange-koramangala-5th-block-bangalore/info,Tipsy Bull- The Bar Exchange,4.3,"₹1,400 for two",chinese continental north indian fast food desserts,Koramangala 5th Block,koramangala,Koramangala,"Chinese, Continental, North Indian, Fast Food, Desserts"
374,394,https://www.zomato.com/bangalore/thyme-and-whisk-electronic-city-bangalore/info,Thyme and Whisk,4.4,"₹1,700 for two",continental asian north indian biryani burger mexican pasta pizza,Electronic City,electroniccity,Electronic City,"Continental, Asian, North Indian, Biryani, Burger, Mexican, Pasta, Pizza"
375,395,https://www.zomato.com/bangalore/niro-nagawara-bangalore/info,Niro,4.4,"₹2,500 for two",continental north indian beverages asian bar food,Hotel Country Inn,hebbal,Hebbal,"Continental, North Indian, Beverages, Asian, Bar Food"
376,396,https://www.zomato.com/bangalore/adda-1522-ulsoor-bangalore/info,Adda 1522,4.6,"₹1,500 for two",fast food south indian seafood north indian kebab mughlai asian european,Ulsoor,ulsoor,Ulsoor,"Fast Food, South Indian, Seafood, North Indian, Kebab, Mughlai, Asian, European"
377,397,https://www.zomato.com/bangalore/blurred-koramangala-5th-block-bangalore/info,Blurred,4.1,"₹1,000 for two",north indian south indian continental chinese,Koramangala 5th Block,koramangala,Koramangala,"North Indian, South Indian, Continental, Chinese"
378,398,https://www.zomato.com/bangalore/ssura-cocktails-and-cuisines-koramangala-6th-block-bangalore/info,Ssura Cocktails And Cuisines,4.5,"₹1,000 for two",bar food biryani continental chinese modern indian american north indian,Koramangala 6th Block,koramangala,Koramangala,"Bar Food, Biryani, Continental, Chinese, Modern Indian, American, North Indian"
379,399,https://www.zomato.com/bangalore/monkey-bar-church-street-bangalore/info,Monkey Bar,3.7,"₹2,000 for two",continental north indian beverages,Church Street,churchstreet,Church Street,"Continental, North Indian, Beverages"
380,400,https://www.zomato.com/bangalore/gustoes-jayanagar-bangalore/info,Gustoes,4.4,"₹1,800 for two",italian seafood chinese asian north indian bbq desserts beverages,Jayanagar,jayanagar,Jayanagar,"Italian, Seafood, Chinese, Asian, North Indian, BBQ, Desserts, Beverages"
381,401,https://www.zomato.com/bangalore/tastique-6-nagawara-bangalore/info,Tastique,4.5,"₹1,500 for two",north indian chinese beverages,Nagawara,nagawara,Nagawara,"North Indian, Chinese, Beverages"
382,402,https://www.zomato.com/bangalore/the-square-novotel-marathahalli/info,The Square - Novotel,4.3,"₹3,200 for two",continental north indian japanese italian,"Novotel Bengaluru, Marathahalli",marathahalli,Marathahalli,"Continental, North Indian, Japanese, Italian"
383,403,https://www.zomato.com/bangalore/three-dots-a-dash-jp-nagar/info,Three Dots & A Dash,4.3,"₹1,800 for two",north indian continental italian,JP Nagar,jpnagar,JP Nagar,"North Indian, Continental, Italian"
384,407,https://www.zomato.com/bangalore/toca-brigade-road-bangalore/info,Toca,4.2,"₹1,200 for two",south indian,Brigade Road,brigaderoad,Brigade Road,South Indian
385,408,https://www.zomato.com/bangalore/carnival-de-goa-ulsoor/info,Carnival de Goa,4.3,"₹1,200 for two",goan chinese continental seafood pizza desserts beverages,Ulsoor,ulsoor,Ulsoor,"Goan, Chinese, Continental, Seafood, Pizza, Desserts, Beverages"
386,409,https://www.zomato.com/bangalore/the-rasoiya-street-1-jp-nagar-bangalore/info,The Rasoiya Street,4.1,"₹1,100 for two",north indian continental asian chinese desserts beverages,JP Nagar,jpnagar,JP Nagar,"North Indian, Continental, Asian, Chinese, Desserts, Beverages"
387,410,https://www.zomato.com/bangalore/trippy-goat-cafe-cunningham-road-bangalore/info,Trippy Goat Cafe,4.3,"₹1,200 for two",cafe continental fast food beverages,Cunningham Road,cunninghamroad,Cunningham Road,"Cafe, Continental, Fast Food, Beverages"
388,411,https://www.zomato.com/bangalore/fire-station-electronic-city-bangalore/info,Fire Station,4.2,"₹1,700 for two",finger food north indian continental italian chinese beverages desserts,Electronic City,electroniccity,Electronic City,"Finger Food, North Indian, Continental, Italian, Chinese, Beverages, Desserts"
389,412,https://www.zomato.com/bangalore/bastian-st-marks-road-bangalore/info,Bastian,-,"₹2,000 for two",continental greek,St. Marks Road,st.marksroad,St. Marks Road,"Continental, Greek"
390,413,https://www.zomato.com/bangalore/tales-of-flamingo-bannerghatta-road-bangalore/info,Tales Of Flamingo,New,"₹1,000 for two",continental asian north indian desserts,Bannerghatta Road,bannerghatta,Bannerghatta,"Continental, Asian, North Indian, Desserts"
391,414,https://www.zomato.com/bangalore/chilis-grill-bar-majestic-bangalore/info,Chili's Grill & Bar,4.4,"₹1,600 for two",mexican american salad pizza tex-mex italian desserts beverages,Lulu Mall,malleshwaram,Malleshwaram,"Mexican, American, Salad, Pizza, Tex-Mex, Italian, Desserts, Beverages"
392,415,https://www.zomato.com/bangalore/tiger-tiger-brewhouse-1-sarjapur-road-bangalore/info,Tiger Tiger Brewhouse,4.1,"₹1,600 for two",north indian continental oriental mughlai andhra european beverages desserts,Sarjapur Road,sarjapur,Sarjapur,"North Indian, Continental, Oriental, Mughlai, Andhra, European, Beverages, Desserts"
393,416,https://www.zomato.com/bangalore/iris-cafe-hsr-bangalore/info,Iris Cafe,4.1,₹950 for two,fast food irish italian beverages desserts,HSR,hsr,HSR,"Fast Food, Irish, Italian, Beverages, Desserts"
394,417,https://www.zomato.com/bangalore/pizza-brew-house-new-bel-road-bangalore/info,Pizza Brew House,4.2,₹950 for two,pizza pasta fast food coffee beverages,New BEL Road,newbelroad,New BEL Road,"Pizza, Pasta, Fast Food, Coffee, Beverages"
395,418,https://www.zomato.com/bangalore/little-italy-sarjapur-road/info,Little Italy,4.1,"₹2,300 for two",italian pizza pasta continental desserts healthy food beverages,Sarjapur Road,sarjapur,Sarjapur,"Italian, Pizza, Pasta, Continental, Desserts, Healthy Food, Beverages"
396,419,https://www.zomato.com/bangalore/italian-bakehouse-1-jayanagar-bangalore/info,Italian Bakehouse,3.6,"₹1,100 for two",cafe pasta italian fast food beverages desserts,Jayanagar,jayanagar,Jayanagar,"Cafe, Pasta, Italian, Fast Food, Beverages, Desserts"
397,420,https://www.zomato.com/bangalore/the-hebbal-cafe-courtyard-by-marriott-hebbal/info,The Hebbal Cafe - Courtyard By Marriott,4.2,"₹3,300 for two",continental north indian chinese american fast food,"Courtyard by Marriott Bengaluru, Hebbal",hebbal,Hebbal,"Continental, North Indian, Chinese, American, Fast Food"
398,421,https://www.zomato.com/bangalore/thyme-whisk-sarjapur-road-bangalore/info,Thyme & Whisk,4.0,"₹1,700 for two",continental north indian asian italian healthy food fast food desserts beverages,Sarjapur Road,sarjapur,Sarjapur,"Continental, North Indian, Asian, Italian, Healthy Food, Fast Food, Desserts, Beverages"
399,422,https://www.zomato.com/bangalore/saarai-jayanagar-bangalore/info,Saarai,New,"₹1,500 for two",andhra asian,Jayanagar,jayanagar,Jayanagar,"Andhra, Asian"
400,423,https://www.zomato.com/bangalore/lavonne-indiranagar/info,Lavonne,4.5,"₹1,300 for two",cafe tea beverages bakery continental pasta salad fast food,Indiranagar,indiranagar,Indiranagar,"Cafe, Tea, Beverages, Bakery, Continental, Pasta, Salad, Fast Food"
401,424,https://www.zomato.com/bangalore/restaurant-chef-pillai-brigade-road-bangalore/info,Restaurant Chef Pillai,4.3,"₹1,000 for two",kerala,Brigade Road,brigaderoad,Brigade Road,Kerala
402,425,https://www.zomato.com/bangalore/cafe-palmyra-whitefield/info,Cafe Palmyra,4.2,"₹2,500 for two",chinese north indian continental oriental sichuan south indian desserts,"Palm Meadows Club, Whitefield",whitefield,Whitefield,"Chinese, North Indian, Continental, Oriental, Sichuan, South Indian, Desserts"
403,426,https://www.zomato.com/bangalore/light-of-italy-hsr-bangalore/info,Light Of Italy,4.4,"₹1,000 for two",italian pizza pasta ice cream desserts beverages,HSR,hsr,HSR,"Italian, Pizza, Pasta, Ice Cream, Desserts, Beverages"
404,427,https://www.zomato.com/bangalore/caffeine-couture-bellandur-bangalore/info,Caffeine Couture,4.0,"₹1,200 for two",cafe coffee british,Bellandur,bellandur,Bellandur,"Cafe, Coffee, British"
405,428,https://www.zomato.com/bangalore/murphys-brewhouse-the-paul-bangalore-domlur-bangalore/info,Murphy's Brewhouse - The Paul Bangalore,4.3,"₹2,000 for two",continental mexican italian fast food north indian irish desserts beverages,"The Paul Bangalore, Domlur",domlur,Domlur,"Continental, Mexican, Italian, Fast Food, North Indian, Irish, Desserts, Beverages"
406,429,https://www.zomato.com/bangalore/papa-pho-new-bel-road-bangalore/info,Papa Pho,4.5,"₹1,600 for two",asian korean chinese oriental salad thai sushi seafood,New BEL Road,newbelroad,New BEL Road,"Asian, Korean, Chinese, Oriental, Salad, Thai, Sushi, Seafood"
407,430,https://www.zomato.com/bangalore/prequel-3-hebbal-bangalore/info,Prequel,4.5,"₹1,300 for two",north indian continental asian italian pizza sushi burger desserts,Hebbal,hebbal,Hebbal,"North Indian, Continental, Asian, Italian, Pizza, Sushi, Burger, Desserts"
408,431,https://www.zomato.com/bangalore/bombay-curry-house-nagawara-bangalore/info,Bombay Curry House,4.5,"₹1,300 for two",south indian north indian chinese bar food salad biryani desserts beverages,"Embassy Manyata Business Park,  Nagawara",nagawara,Nagawara,"South Indian, North Indian, Chinese, Bar Food, Salad, Biryani, Desserts, Beverages"
409,432,https://www.zomato.com/bangalore/oziano-indiranagar-bangalore/info,Oziano,4.3,"₹1,000 for two",bengali biryani rolls,Indiranagar,indiranagar,Indiranagar,"Bengali, Biryani, Rolls"
410,433,https://www.zomato.com/bangalore/the-rice-bowl-1-lavelle-road/info,The Rice Bowl,4.2,"₹1,600 for two",asian chinese sichuan seafood desserts,"Hotel Southern Star, Lavelle Road",lavelleroad,Lavelle Road,"Asian, Chinese, Sichuan, Seafood, Desserts"
411,434,https://www.zomato.com/bangalore/sultans-of-spice-koramangala-5th-block-bangalore/info,Sultans Of Spice,4.4,"₹1,700 for two",north indian mughlai afghan biryani desserts beverages,"BluPetal Hotel, Koramangala",koramangala,Koramangala,"North Indian, Mughlai, Afghan, Biryani, Desserts, Beverages"
412,435,https://www.zomato.com/bangalore/pizza-4ps-indiranagar-bangalore/info,Pizza 4P's,New,"₹1,000 for two",pizza,Indiranagar,indiranagar,Indiranagar,Pizza
413,436,https://www.zomato.com/bangalore/big-horn-brewery-bannerghatta-road-bangalore/info,Big Horn Brewery,New,"₹1,500 for two",south indian north indian asian chinese biryani pasta pizza desserts,Bannerghatta Road,bannerghatta,Bannerghatta,"South Indian, North Indian, Asian, Chinese, Biryani, Pasta, Pizza, Desserts"
414,437,https://www.zomato.com/bangalore/talli-terrace-church-street-bangalore/info,Talli Terrace,3.8,₹500 for two,north indian chinese fast food,Church Street,churchstreet,Church Street,"North Indian, Chinese, Fast Food"
415,438,https://www.zomato.com/bangalore/barkaas-indo-arabic-restaurant-koramangala-7th-block-bangalore/info,Barkaas Indo Arabic Restaurant,4.0,"₹1,000 for two",arabian north indian biryani mandi desserts,Koramangala 7th Block,koramangala,Koramangala,"Arabian, North Indian, Biryani, Mandi, Desserts"
416,439,https://www.zomato.com/bangalore/frozen-bottle-milkshakes-desserts-and-ice-cream-hsr-bangalore/info,"Frozen Bottle - Milkshakes, Desserts And Ice Cream",3.6,₹350 for two,shake ice cream desserts beverages waffle healthy food,HSR,hsr,HSR,"Shake, Ice Cream, Desserts, Beverages, Waffle, Healthy Food"
417,440,https://www.zomato.com/bangalore/toast-tonic-richmond-road-bangalore/info,Toast & Tonic,4.7,"₹2,000 for two",finger food continental asian burger desserts bar food beverages,Richmond Road,richmondroad,Richmond Road,"Finger Food, Continental, Asian, Burger, Desserts, Bar Food, Beverages"
418,441,https://www.zomato.com/bangalore/haldirams-restaurant-1-hsr-bangalore/info,Haldiram's Restaurant,4.1,₹400 for two,mithai south indian north indian sandwich street food biryani beverages,HSR,hsr,HSR,"Mithai, South Indian, North Indian, Sandwich, Street Food, Biryani, Beverages"
419,442,https://www.zomato.com/bangalore/ebony-mg-road/info,Ebony,4.2,"₹1,900 for two",north indian biryani south indian thai seafood desserts beverages,Barton Centre,ashoknagar,Ashok Nagar,"North Indian, Biryani, South Indian, Thai, Seafood, Desserts, Beverages"
420,443,https://www.zomato.com/bangalore/the-verandah-grand-mercure-koramangala-3rd-block-bangalore/info,The Verandah - Grand Mercure,3.4,"₹1,500 for two",south indian asian salad healthy food chinese desserts,Koramangala 3rd Block,koramangala,Koramangala,"South Indian, Asian, Salad, Healthy Food, Chinese, Desserts"
421,444,https://www.zomato.com/bangalore/santé-spa-cuisine-domlur-bangalore/info,Santé Spa Cuisine,4.9,"₹1,800 for two",pizza north indian continental pasta asian cafe beverages desserts,Domlur,domlur,Domlur,"Pizza, North Indian, Continental, Pasta, Asian, Cafe, Beverages, Desserts"
422,445,https://www.zomato.com/bangalore/nomad-pizza-sarjapur-road-bangalore/info,Nomad Pizza,4.4,"₹1,000 for two",pizza italian,Sarjapur Road,sarjapur,Sarjapur,"Pizza, Italian"
423,446,https://www.zomato.com/bangalore/onesta-hsr/info,Onesta,4.2,"₹1,000 for two",pizza pasta sandwich fast food desserts beverages,HSR,hsr,HSR,"Pizza, Pasta, Sandwich, Fast Food, Desserts, Beverages"
424,447,https://www.zomato.com/bangalore/the-only-place-church-street/info,The Only Place,4.0,"₹1,400 for two",italian steak continental fast food desserts beverages,Church Street,churchstreet,Church Street,"Italian, Steak, Continental, Fast Food, Desserts, Beverages"
