,Unnamed: 0,links,names,ratings,price for two,cuisine,Location,area,area_list,cuisine_list
248,259,https://www.zomato.com/bangalore/maya-1-jayanagar-bangalore/info,Maya,4.3,"₹1,800 for two",asian north indian chinese thai beverages,Jayanagar,jayanagar,Jayanagar,"Asian, North Indian, Chinese, Thai, Beverages"
249,260,https://www.zomato.com/bangalore/xochi-bar-and-kitchen-bellandur-bangalore/info,Xochi Bar And Kitchen,4.5,"₹2,500 for two",asian north indian continental,Bellandur,bellandur,Bellandur,"Asian, North Indian, Continental"
250,261,https://www.zomato.com/bangalore/the-big-baadshaah-marathahalli-bangalore/info,The Big Baadshaah,4.3,"₹1,900 for two",continental chinese asian north indian fast food street food desserts beverages,Marathahalli,marathahalli,Marathahalli,"Continental, Chinese, Asian, North Indian, Fast Food, Street Food, Desserts, Beverages"
251,262,https://www.zomato.com/bangalore/sanadige-goldfinch-hotel-seshadripuram/info,Sanadige - Goldfinch Hotel,4.2,"₹1,800 for two",seafood mangalorean goan south indian north indian chinese desserts beverages,"Goldfinch Hotel, Seshadripuram",racecourseroad,Race Course Road,"Seafood, Mangalorean, Goan, South Indian, North Indian, Chinese, Desserts, Beverages"
252,264,https://www.zomato.com/bangalore/tuk-tuk-thai-pure-veg-asian-fine-dine-koramangala-5th-block-bangalore/info,Tuk Tuk Thai - Pure Veg Asian Fine Dine,4.8,"₹2,000 for two",thai asian chinese desserts beverages,Koramangala 5th Block,koramangala,Koramangala,"Thai, Asian, Chinese, Desserts, Beverages"
253,265,https://www.zomato.com/bangalore/delhi-highway-indiranagar/info,Delhi Highway,4.1,"₹1,800 for two",north indian chinese street food kebab desserts beverages,Indiranagar,indiranagar,Indiranagar,"North Indian, Chinese, Street Food, Kebab, Desserts, Beverages"
254,266,https://www.zomato.com/bangalore/mahe-global-kitchen-koramangala-5th-block-bangalore/info,Mahe Global Kitchen,4.2,"₹1,400 for two",north indian continental asian pizza chinese desserts shake beverages,Koramangala 5th Block,koramangala,Koramangala,"North Indian, Continental, Asian, Pizza, Chinese, Desserts, Shake, Beverages"
255,267,https://www.zomato.com/bangalore/celebs-restobar-brookefield-bangalore/info,Celeb’s Restobar,4.3,"₹1,300 for two",bar food,Brookefield,brookefield,Brookefield,Bar Food
256,268,https://www.zomato.com/bangalore/indigo-xp-koramangala-5th-block/info,Indigo XP,4.0,"₹2,000 for two",north indian continental chinese italian oriental thai biryani,Koramangala 5th Block,koramangala,Koramangala,"North Indian, Continental, Chinese, Italian, Oriental, Thai, Biryani"
257,269,https://www.zomato.com/bangalore/paradise-biryani-a-legend-since-1953-jp-nagar-bangalore/info,Paradise Biryani - A Legend Since 1953,3.7,"₹1,100 for two",biryani kebab north indian rolls chinese desserts,JP Nagar,jpnagar,JP Nagar,"Biryani, Kebab, North Indian, Rolls, Chinese, Desserts"
258,270,https://www.zomato.com/bangalore/smoor-2-indiranagar-bangalore/info,Smoor,4.5,₹600 for two,bakery desserts beverages,Indiranagar,indiranagar,Indiranagar,"Bakery, Desserts, Beverages"
259,271,https://www.zomato.com/bangalore/f5-hilton-embassy-manyata-business-park-nagawara-bangalore/info,F5 - Hilton Embassy Manyata Business Park,4.3,"₹3,100 for two",north indian continental pizza fast food coffee tea desserts beverages,Hilton Garden Inn Bengaluru Embassy Manyata Business Park,nagawara,Nagawara,"North Indian, Continental, Pizza, Fast Food, Coffee, Tea, Desserts, Beverages"
