,links,names,ratings,price for two,cuisine,Location
196,https://www.zomato.com/bangalore/154-breakfast-club-koramangala-4th-block-bangalore/info,154 Breakfast Club,3.9,"₹1,100 for two","Burger, Cafe, Sandwich, Street Food, Fast Food, Pancake, Asian, Desserts",Koramangala 4th Block
197,https://www.zomato.com/bangalore/1522-the-pub-jp-nagar-bangalore/info,1522 - The Pub,4.4,"₹1,800 for two","Chinese, North Indian, Mughlai, Finger Food, Seafood",JP Nagar
198,https://www.zomato.com/bangalore/we-neighborhood-brigade-road-bangalore/info,We: Neighborhood,4.4,"₹1,400 for two","European, American, North Indian, Burger, Pizza, Desserts, Beverages",Brigade Road
199,https://www.zomato.com/bangalore/district-6-pub-brewery-kitchen-malleshwaram-bangalore/info,District 6 Pub Brewery & Kitchen,4.5,"₹2,500 for two","North Indian, Pizza, Italian, Bar Food, Continental, Asian, Desserts",Malleshwaram
200,https://www.zomato.com/bangalore/the-fishermans-wharf-sarjapur-road/info,The Fisherman's Wharf,4.1,"₹1,900 for two","North Indian, Chinese, Seafood, Goan, Finger Food, Continental, Desserts, Beverages",Sarjapur Road
201,https://www.zomato.com/bangalore/torye-drink-dine-dance-rajarajeshwari-nagar-bangalore/info,"Torye Drink, Dine & Dance",3.8,"₹2,000 for two",Continental,Rajarajeshwari Nagar
202,https://www.zomato.com/bangalore/big-barrel-brewpub-rajarajeshwari-nagar-bangalore/info,Big Barrel BrewPub,4.3,"₹2,000 for two","Chinese, Salad, North Indian, Oriental, Mexican, Italian, Continental, Beverages",Rajarajeshwari Nagar
203,https://www.zomato.com/bangalore/babylonia-global-food-cocktails-koramangala-7th-block-bangalore/info,Babylonia - Global Food & Cocktails,4.6,"₹1,500 for two","Continental, North Indian, Asian, Italian, Mughlai, Mediterranean, Bar Food, Desserts",Koramangala 7th Block
204,https://www.zomato.com/bangalore/bhola-blonde-indiranagar-bangalore/info,Bhola & Blonde,4.0,"₹1,900 for two","North Indian, Lucknowi, Mughlai, Biryani, Fast Food, Desserts",Indiranagar
205,https://www.zomato.com/bangalore/monks-bar-social-1-btm-bangalore/info,Monk's Bar & Social,4.5,"₹1,000 for two","Bar Food, South Indian, Asian, European, Italian, North Indian, Desserts, Beverages",BTM
206,https://www.zomato.com/bangalore/sector-144-electronic-city-bangalore/info,Sector 144,4.4,"₹1,100 for two","North Indian, Chinese, Kebab, Mughlai, Italian, Fast Food, Desserts, Bar Food",Electronic City
207,https://www.zomato.com/bangalore/conçu-indiranagar-bangalore/info,Conçu,4.4,₹500 for two,"Cafe, Fast Food",Indiranagar
